refinery,month,detections
Thai Oil Sri Racha (TH),2020-04-01,17
Thai Oil Sri Racha (TH),2020-05-01,1
Thai Oil Sri Racha (TH),2020-06-01,2
Thai Oil Sri Racha (TH),2020-07-01,6
Thai Oil Sri Racha (TH),2020-08-01,21
Thai Oil Sri Racha (TH),2020-09-01,9
Thai Oil Sri Racha (TH),2020-10-01,9
Thai Oil Sri Racha (TH),2020-11-01,65
Thai Oil Sri Racha (TH),2020-12-01,67
Thai Oil Sri Racha (TH),2021-01-01,87
Thai Oil Sri Racha (TH),2021-02-01,84
Thai Oil Sri Racha (TH),2021-03-01,55
Thai Oil Sri Racha (TH),2021-04-01,32
Thai Oil Sri Racha (TH),2021-05-01,9
Thai Oil Sri Racha (TH),2021-06-01,8
Thai Oil Sri Racha (TH),2021-07-01,6
Thai Oil Sri Racha (TH),2021-08-01,5
Thai Oil Sri Racha (TH),2021-09-01,1
Thai Oil Sri Racha (TH),2021-10-01,20
Thai Oil Sri Racha (TH),2021-11-01,18
Thai Oil Sri Racha (TH),2021-12-01,66
Thai Oil Sri Racha (TH),2022-01-01,68
Thai Oil Sri Racha (TH),2022-02-01,48
Thai Oil Sri Racha (TH),2022-03-01,30
Thai Oil Sri Racha (TH),2022-04-01,34
Thai Oil Sri Racha (TH),2022-05-01,6
Thai Oil Sri Racha (TH),2022-06-01,8
Thai Oil Sri Racha (TH),2022-07-01,3
Thai Oil Sri Racha (TH),2022-08-01,4
Thai Oil Sri Racha (TH),2022-10-01,22
Thai Oil Sri Racha (TH),2022-11-01,21
Thai Oil Sri Racha (TH),2022-12-01,38
Thai Oil Sri Racha (TH),2023-01-01,45
Thai Oil Sri Racha (TH),2023-02-01,32
Thai Oil Sri Racha (TH),2023-03-01,69
Thai Oil Sri Racha (TH),2023-04-01,52
Thai Oil Sri Racha (TH),2023-05-01,17
Thai Oil Sri Racha (TH),2023-06-01,7
Thai Oil Sri Racha (TH),2023-07-01,7
Thai Oil Sri Racha (TH),2023-08-01,1
Thai Oil Sri Racha (TH),2023-09-01,1
Thai Oil Sri Racha (TH),2023-10-01,3
Thai Oil Sri Racha (TH),2023-11-01,15
Thai Oil Sri Racha (TH),2023-12-01,10
Thai Oil Sri Racha (TH),2024-01-01,30
Thai Oil Sri Racha (TH),2024-02-01,8
Thai Oil Sri Racha (TH),2024-03-01,33
Thai Oil Sri Racha (TH),2024-04-01,20
Thai Oil Sri Racha (TH),2024-05-01,9
Thai Oil Sri Racha (TH),2024-06-01,2
Thai Oil Sri Racha (TH),2024-08-01,1
Thai Oil Sri Racha (TH),2024-10-01,14
Thai Oil Sri Racha (TH),2024-11-01,24
Thai Oil Sri Racha (TH),2024-12-01,11
Thai Oil Sri Racha (TH),2025-01-01,23
Thai Oil Sri Racha (TH),2025-02-01,23
