,from,to,time
139,881e05b45dfffff,881e05b455fffff,89
140,881e05b489fffff,881e05b489fffff,0
141,881e05b489fffff,881e05b48dfffff,551
142,881e05b489fffff,881e05b4d5fffff,696
143,881e05b489fffff,881e05b48bfffff,441
144,881e05b489fffff,881e05b4c3fffff,730
145,881e05b489fffff,881e05b4c7fffff,1213
146,881e05b489fffff,881e05b481fffff,381
147,881e05b48bfffff,881e05b489fffff,447
148,881e05b48bfffff,881e05b4d5fffff,448
149,881e05b48bfffff,881e05b4d7fffff,393
150,881e05b48bfffff,881e05b48bfffff,0
151,881e05b48bfffff,881e05b483fffff,204
152,881e05b48bfffff,881e05b481fffff,128
153,881e05b48bfffff,881e05b49dfffff,902
154,881e05b48dfffff,881e05b48dfffff,0
155,881e05b48dfffff,881e05b489fffff,544
156,881e05b48dfffff,881e05b4ebfffff,215
157,881e05b48dfffff,881e05b485fffff,178
158,881e05b48dfffff,881e05b4e3fffff,292
159,881e05b48dfffff,881e05b4c7fffff,911
160,881e05b48dfffff,881e05b481fffff,195
161,881e05b499fffff,881e2e6b25fffff,603
162,881e05b499fffff,881e05b4d7fffff,408
163,881e05b499fffff,881e05b499fffff,0
164,881e05b499fffff,881e05b49bfffff,267
165,881e05b499fffff,881e05b4d3fffff,1172
166,881e05b499fffff,881e05b491fffff,477
167,881e05b499fffff,881e05b49dfffff,717
168,881e05b49bfffff,881e2e694dfffff,511
169,881e05b49bfffff,881e2e6b25fffff,721
170,881e05b49bfffff,881e2e6b27fffff,232
171,881e05b49bfffff,881e05b49bfffff,0
172,881e05b49bfffff,881e05b499fffff,283
173,881e05b49bfffff,881e05b493fffff,1007
174,881e05b49bfffff,881e05b491fffff,760
175,881e05b49dfffff,881e05b4d7fffff,1035
176,881e05b49dfffff,881e05b499fffff,714
177,881e05b49dfffff,881e05b48bfffff,902
178,881e05b49dfffff,881e05b495fffff,914
179,881e05b49dfffff,881e05b483fffff,976
180,881e05b49dfffff,881e05b491fffff,591
181,881e05b49dfffff,881e05b49dfffff,0
182,881e05b4c1fffff,881e05b4c1fffff,0
183,881e05b4c1fffff,881e05b4c5fffff,167
184,881e05b4c1fffff,881e05b4cbfffff,236
185,881e05b4c1fffff,881e05b4cdfffff,214
186,881e05b4c1fffff,881e05b4c3fffff,138
187,881e05b4c1fffff,881e05b4c9fffff,59
188,881e05b4c1fffff,881e05b4c7fffff,620
189,881e05b4c3fffff,881e05b489fffff,784
190,881e05b4c3fffff,881e05b4d5fffff,978
191,881e05b4c3fffff,881e05b4c1fffff,144
192,881e05b4c3fffff,881e05b4cbfffff,381
193,881e05b4c3fffff,881e05b4c3fffff,277
194,881e05b4c3fffff,881e05b4ddfffff,1012
195,881e05b4c3fffff,881e05b4c7fffff,570
196,881e05b4c5fffff,881e05b4c1fffff,162
197,881e05b4c5fffff,881e05b4c5fffff,275
198,881e05b4c5fffff,881e05b4ebfffff,479
199,881e05b4c5fffff,881e05b4cdfffff,293
200,881e05b4c5fffff,881e05b4c7fffff,768
201,881e05b4c5fffff,881e05b4e9fffff,1062
