date,SOY,WX_US,WX_BR,ONI
2005-08-01,,51.82,57.144,
2005-09-01,573.25,57.577555555555556,54.83511111111111,0.040000000000000015
2005-10-01,564.75,45.545806451612904,73.79827956989247,-0.10333333333333332
2005-11-01,558.0,10.782,88.17638095238095,-0.5033333333333333
2005-12-01,602.0,0.004301075268817571,52.30838709677419,-0.8366666666666666
2006-01-01,,0.7432258064516128,53.37677419354839,-1.0033333333333332
2006-02-01,580.25,0.19285714285714287,52.73571428571428,-0.7666666666666665
2006-03-01,571.5,9.129247311827958,53.250691244239626,-0.5533333333333332
2006-04-01,587.25,67.308,55.04266666666667,-0.3799999999999999
2006-05-01,579.5,61.27870967741936,61.76639016897081,-0.3066666666666666
2006-06-01,594.75,59.29533333333334,53.535999999999994,-0.11666666666666659
2006-07-01,579.5,55.222795698924735,53.895483870967745,-0.02333333333333326
2006-08-01,542.25,81.77993855606758,56.17161290322581,0.1233333333333334
2006-09-01,547.5,74.20292063492064,58.531555555555556,0.3900000000000001
2006-10-01,,19.203440860215053,71.00669738863287,0.6600000000000001
2006-11-01,685.5,9.938666666666668,64.74590476190477,0.8233333333333334
2006-12-01,683.5,1.7918279569892475,54.598894009216586,0.9366666666666669
2007-01-01,719.5,6.6812903225806455,53.92258064516129,0.9866666666666667
2007-02-01,773.25,0.028571428571428643,52.778571428571425,0.7400000000000001
2007-03-01,761.25,36.112258064516126,60.86230414746544,0.2066666666666667
2007-04-01,,46.901777777777774,63.63307936507936,-0.20999999999999994
2007-05-01,806.25,77.31698924731184,54.02150537634408,-0.5199999999999999
2007-06-01,850.0,67.93644444444445,53.928,-0.5199999999999999
2007-07-01,,54.038709677419355,53.08838709677419,-0.6266666666666666
2007-08-01,868.0,75.75428571428571,55.04129032258064,-0.7033333333333333
2007-09-01,991.25,63.409396825396826,57.46399999999999,-0.89
2007-10-01,1010.0,63.4505069124424,74.95225806451613,-1.11
2007-11-01,1080.0,24.917333333333332,64.69371428571428,-1.2833333333333332
2007-12-01,1199.0,4.3483870967741955,53.36129032258064,-1.3966666666666667
2008-01-01,1274.5,0.15096774193548385,52.82709677419354,-1.4166666666666667
2008-02-01,1522.0,1.1448275862068966,52.58896551724138,-1.2633333333333334
2008-03-01,1197.25,5.255913978494624,52.59483870967742,-0.9666666666666667
2008-04-01,1301.75,40.288444444444444,78.86609523809524,-0.6133333333333333
2008-05-01,1363.5,70.95910906298003,71.4116129032258,-0.26333333333333325
2008-06-01,,67.66977777777778,52.303999999999995,-0.14666666666666658
2008-07-01,1395.75,79.83827956989248,53.84516129032258,0.03333333333333341
2008-08-01,1332.0,74.72946236559139,56.69806451612903,0.2333333333333334
2008-09-01,1045.0,66.844,56.504,0.3866666666666667
2008-10-01,925.25,59.08086021505376,91.43797235023041,0.38000000000000006
2008-11-01,883.0,35.906666666666666,67.08457142857142,0.17333333333333342
2008-12-01,972.25,4.166451612903226,61.63041474654377,-0.14999999999999994
2009-01-01,980.0,0.5591397849462366,53.72129032258064,-0.34333333333333327
2009-02-01,,1.8128571428571427,53.044285714285714,-0.46666666666666656
2009-03-01,,31.132473118279567,53.465806451612906,-0.47333333333333333
2009-04-01,1070.0,41.89888888888889,59.93961904761905,-0.3699999999999999
2009-05-01,1184.0,76.62516129032258,80.42211981566821,-0.10333333333333326
2009-06-01,1226.25,74.62152380952381,57.08377777777778,0.3233333333333334
2009-07-01,1134.0,82.19287250384025,53.630322580645164,0.6000000000000001
2009-08-01,1100.0,67.11010752688172,55.47483870967742,0.75
2009-09-01,927.0,60.83409523809524,64.68533333333333,0.8133333333333334
2009-10-01,978.0,51.399784946236565,94.50027649769585,0.7999999999999999
2009-11-01,,39.43844444444445,60.252380952380946,0.88
2009-12-01,1039.75,15.531612903225808,53.358341013824884,1.0766666666666669
2010-01-01,914.0,12.70967741935484,53.03225806451613,1.18
2010-02-01,951.0,0.0,53.92714285714286,1.07
2010-03-01,941.0,5.578064516129031,54.20129032258065,0.8400000000000002
2010-04-01,989.5,39.339333333333336,69.42774603174603,0.67
2010-05-01,937.75,72.05032258064516,54.07612903225806,0.39333333333333337
2010-06-01,948.5,83.47104761904761,54.864000000000004,-0.03333333333333325
2010-07-01,1052.5,68.50396313364054,53.02838709677419,-0.5066666666666666
2010-08-01,,76.54589861751153,55.170967741935485,-0.8066666666666666
2010-09-01,1106.75,79.71711111111111,58.66057142857142,-0.9333333333333332
2010-10-01,1226.0,51.328602150537634,65.04860215053765,-1.0966666666666667
2010-11-01,1243.0,6.59,66.06285714285714,-1.1833333333333333
2010-12-01,1393.75,0.24387096774193545,54.2615668202765,-1.3
2011-01-01,1413.0,0.0,52.80774193548387,-1.2733333333333332
2011-02-01,1357.25,1.26,52.43571428571429,-1.1233333333333333
2011-03-01,1410.25,4.594838709677419,52.82709677419354,-0.96
2011-04-01,1392.75,40.45533333333333,59.55542857142857,-0.6566666666666666
2011-05-01,,74.04666666666667,59.42494623655914,-0.4833333333333332
2011-06-01,1306.25,64.70142857142858,53.495999999999995,-0.23333333333333328
2011-07-01,1354.25,71.18021505376343,54.35225806451612,-0.10666666666666659
2011-08-01,1449.0,56.6336712749616,55.63354838709677,-0.1266666666666666
2011-09-01,1179.0,45.60377777777778,58.06399999999999,-0.2999999999999999
2011-10-01,1207.5,28.968387096774194,73.89769585253457,-0.5499999999999999
2011-11-01,1131.25,7.888,60.08857142857143,-0.7766666666666667
2011-12-01,1198.5,2.6038709677419347,54.39428571428571,-0.8933333333333334
2012-01-01,,0.8038709677419353,52.53290322580645,-0.8066666666666666
