date,SOY,WX_US,WX_BR,ONI,FX_USDBRL,FX_EURUSD,DXY,SOY_lag0,SOY_lag1,SOY_lag2,SOY_lag3,WX_US_lag0,WX_US_lag1,WX_US_lag2,WX_BR_lag0,WX_BR_lag1,WX_BR_lag2,ONI_lag0,ONI_lag1,ONI_lag2,FX_USDBRL_lag0,FX_USDBRL_lag1,FX_USDBRL_lag2,FX_EURUSD_lag0,FX_EURUSD_lag1,FX_EURUSD_lag2,DXY_lag0,DXY_lag1,DXY_lag2,SOY_t+1,SOY_t+2,SOY_t+3
2005-10-01,564.75,45.5458064516129,73.79827956989247,-0.1033333333333333,,1.1988970041275024,90.06999969482422,564.75,573.25,573.25,,45.5458064516129,57.57755555555556,51.02727272727272,73.79827956989247,54.83511111111111,57.17454545454545,-0.1033333333333333,0.04,,,,,1.1988970041275024,1.2028049230575562,,90.06999969482422,89.5199966430664,,558.0,602.0,591.125
2005-11-01,558.0,10.782,88.17638095238095,-0.5033333333333333,,1.180498123168945,91.56999969482422,558.0,564.75,573.25,573.25,10.782,45.5458064516129,57.57755555555556,88.17638095238095,73.79827956989247,54.83511111111111,-0.5033333333333333,-0.1033333333333333,0.04,,,,1.180498123168945,1.1988970041275024,1.2028049230575562,91.56999969482422,90.06999969482422,89.5199966430664,602.0,591.125,580.25
2005-12-01,602.0,0.0043010752688169,52.30838709677419,-0.8366666666666666,,1.184399127960205,91.16999816894533,602.0,558.0,564.75,573.25,0.0043010752688169,10.782,45.5458064516129,52.30838709677419,88.17638095238095,73.79827956989247,-0.8366666666666666,-0.5033333333333333,-0.1033333333333333,,,,1.184399127960205,1.180498123168945,1.1988970041275024,91.16999816894533,91.56999969482422,90.06999969482422,591.125,580.25,571.5
2006-01-01,591.125,0.7432258064516128,53.37677419354839,-1.0033333333333332,,1.2148454189300537,88.95999908447266,591.125,602.0,558.0,564.75,0.7432258064516128,0.0043010752688169,10.782,53.37677419354839,52.30838709677419,88.17638095238095,-1.0033333333333332,-0.8366666666666666,-0.5033333333333333,,,,1.2148454189300537,1.184399127960205,1.180498123168945,88.95999908447266,91.16999816894533,91.56999969482422,580.25,571.5,587.25
2006-02-01,580.25,0.1928571428571428,52.73571428571428,-0.7666666666666665,,1.1930042505264282,90.11000061035156,580.25,591.125,602.0,558.0,0.1928571428571428,0.7432258064516128,0.0043010752688169,52.73571428571428,53.37677419354839,52.30838709677419,-0.7666666666666665,-1.0033333333333332,-0.8366666666666666,,,,1.1930042505264282,1.2148454189300537,1.184399127960205,90.11000061035156,88.95999908447266,91.16999816894533,571.5,587.25,579.5
2006-03-01,571.5,9.129247311827957,53.250691244239626,-0.5533333333333332,2.167200088500977,1.2115044593811035,89.7300033569336,571.5,580.25,591.125,602.0,9.129247311827957,0.1928571428571428,0.7432258064516128,53.250691244239626,52.73571428571428,53.37677419354839,-0.5533333333333332,-0.7666666666666665,-1.0033333333333332,2.167200088500977,,,1.2115044593811035,1.1930042505264282,1.2148454189300537,89.7300033569336,90.11000061035156,88.95999908447266,587.25,579.5,594.75
2006-04-01,587.25,67.308,55.04266666666667,-0.3799999999999999,2.0936999320983887,1.2624987363815308,86.11000061035156,587.25,571.5,580.25,591.125,67.308,9.129247311827957,0.1928571428571428,55.04266666666667,53.250691244239626,52.73571428571428,-0.3799999999999999,-0.5533333333333332,-0.7666666666666665,2.0936999320983887,2.167200088500977,,1.2624987363815308,1.2115044593811035,1.1930042505264282,86.11000061035156,89.7300033569336,90.11000061035156,579.5,594.75,579.5
2006-05-01,579.5,61.27870967741935,61.76639016897081,-0.3066666666666666,2.2971999645233154,1.2816076278686523,84.72000122070312,579.5,587.25,571.5,580.25,61.27870967741935,67.308,9.129247311827957,61.76639016897081,55.04266666666667,53.250691244239626,-0.3066666666666666,-0.3799999999999999,-0.5533333333333332,2.2971999645233154,2.0936999320983887,2.167200088500977,1.2816076278686523,1.2624987363815308,1.2115044593811035,84.72000122070312,86.11000061035156,89.7300033569336,594.75,579.5,542.25
2006-06-01,594.75,59.295333333333325,53.536,-0.1166666666666665,2.1614999771118164,1.2782983779907229,85.22000122070312,594.75,579.5,587.25,571.5,59.295333333333325,61.27870967741935,67.308,53.536,61.76639016897081,55.04266666666667,-0.1166666666666665,-0.3066666666666666,-0.3799999999999999,2.1614999771118164,2.2971999645233154,2.0936999320983887,1.2782983779907229,1.2816076278686523,1.2624987363815308,85.22000122070312,84.72000122070312,86.11000061035156,579.5,542.25,547.5
2006-07-01,579.5,55.222795698924735,53.89548387096775,-0.0233333333333332,2.171999931335449,1.277400255203247,85.30000305175781,579.5,594.75,579.5,587.25,55.222795698924735,59.295333333333325,61.27870967741935,53.89548387096775,53.536,61.76639016897081,-0.0233333333333332,-0.1166666666666665,-0.3066666666666666,2.171999931335449,2.1614999771118164,2.2971999645233154,1.277400255203247,1.2782983779907229,1.2816076278686523,85.30000305175781,85.22000122070312,84.72000122070312,542.25,547.5,615.3688524590164
2006-08-01,542.25,81.77993855606758,56.17161290322581,0.1233333333333334,2.134000062942505,1.2809016704559326,85.05000305175781,542.25,579.5,594.75,579.5,81.77993855606758,55.222795698924735,59.295333333333325,56.17161290322581,53.89548387096775,53.536,0.1233333333333334,-0.0233333333333332,-0.1166666666666665,2.134000062942505,2.171999931335449,2.1614999771118164,1.2809016704559326,1.277400255203247,1.2782983779907229,85.05000305175781,85.30000305175781,85.22000122070312,547.5,615.3688524590164,685.5
2006-09-01,547.5,74.20292063492064,58.53155555555556,0.3900000000000001,2.162899971008301,1.2690999507904053,85.97000122070312,547.5,542.25,579.5,594.75,74.20292063492064,81.77993855606758,55.222795698924735,58.53155555555556,56.17161290322581,53.89548387096775,0.3900000000000001,0.1233333333333334,-0.0233333333333332,2.162899971008301,2.134000062942505,2.171999931335449,1.2690999507904053,1.2809016704559326,1.277400255203247,85.97000122070312,85.05000305175781,85.30000305175781,615.3688524590164,685.5,683.5
2006-10-01,615.3688524590164,19.203440860215053,71.00669738863287,0.6600000000000001,2.132999897003174,1.2766989469528198,85.31999969482422,615.3688524590164,547.5,542.25,579.5,19.203440860215053,74.20292063492064,81.77993855606758,71.00669738863287,58.53155555555556,56.17161290322581,0.6600000000000001,0.3900000000000001,0.1233333333333334,2.132999897003174,2.162899971008301,2.134000062942505,1.2766989469528198,1.2690999507904053,1.2809016704559326,85.31999969482422,85.97000122070312,85.05000305175781,685.5,683.5,719.5
2006-11-01,685.5,9.938666666666666,64.74590476190477,0.8233333333333334,2.16599988937378,1.325100064277649,82.91999816894531,685.5,615.3688524590164,547.5,542.25,9.938666666666666,19.203440860215053,74.20292063492064,64.74590476190477,71.00669738863287,58.53155555555556,0.8233333333333334,0.6600000000000001,0.3900000000000001,2.16599988937378,2.132999897003174,2.162899971008301,1.325100064277649,1.2766989469528198,1.2690999507904053,82.91999816894531,85.31999969482422,85.97000122070312,683.5,719.5,773.25
2006-12-01,683.5,1.7918279569892468,54.598894009216586,0.9366666666666668,2.13100004196167,1.3198009729385376,83.72000122070312,683.5,685.5,615.3688524590164,547.5,1.7918279569892468,9.938666666666666,19.203440860215053,54.598894009216586,64.74590476190477,71.00669738863287,0.9366666666666668,0.8233333333333334,0.6600000000000001,2.13100004196167,2.16599988937378,2.132999897003174,1.3198009729385376,1.325100064277649,1.2766989469528198,83.72000122070312,82.91999816894531,85.31999969482422,719.5,773.25,761.25
2007-01-01,719.5,6.681290322580641,53.92258064516129,0.9866666666666668,2.120300054550171,1.3023037910461426,84.61000061035156,719.5,683.5,685.5,615.3688524590164,6.681290322580641,1.7918279569892468,9.938666666666666,53.92258064516129,54.598894009216586,64.74590476190477,0.9866666666666668,0.9366666666666668,0.8233333333333334,2.120300054550171,2.13100004196167,2.16599988937378,1.3023037910461426,1.3198009729385376,1.325100064277649,84.61000061035156,83.72000122070312,82.91999816894531,773.25,761.25,784.1188524590164
2007-02-01,773.25,0.0285714285714283,52.77857142857143,0.7400000000000001,2.115999937057495,1.322891354560852,83.56999969482422,773.25,719.5,683.5,685.5,0.0285714285714283,6.681290322580641,1.7918279569892468,52.77857142857143,53.92258064516129,54.598894009216586,0.7400000000000001,0.9866666666666668,0.9366666666666668,2.115999937057495,2.120300054550171,2.13100004196167,1.322891354560852,1.3023037910461426,1.3198009729385376,83.56999969482422,84.61000061035156,83.72000122070312,761.25,784.1188524590164,806.25
2007-03-01,761.25,36.11225806451612,60.86230414746544,0.2066666666666667,2.055000066757202,1.3358982801437378,82.93000030517578,761.25,773.25,719.5,683.5,36.11225806451612,0.0285714285714283,6.681290322580641,60.86230414746544,52.77857142857143,53.92258064516129,0.2066666666666667,0.7400000000000001,0.9866666666666668,2.055000066757202,2.115999937057495,2.120300054550171,1.3358982801437378,1.322891354560852,1.3023037910461426,82.93000030517578,83.56999969482422,84.61000061035156,784.1188524590164,806.25,850.0
2007-04-01,784.1188524590164,46.901777777777774,63.63307936507936,-0.2099999999999999,2.027899980545044,1.3652063608169556,81.44999694824219,784.1188524590164,761.25,773.25,719.5,46.901777777777774,36.11225806451612,0.0285714285714283,63.63307936507936,60.86230414746544,52.77857142857143,-0.2099999999999999,0.2066666666666667,0.7400000000000001,2.027899980545044,2.055000066757202,2.115999937057495,1.3652063608169556,1.3358982801437378,1.322891354560852,81.44999694824219,82.93000030517578,83.56999969482422,806.25,850.0,858.8524590163935
2007-05-01,806.25,77.31698924731182,54.02150537634408,-0.5199999999999999,1.919100046157837,1.3456052541732788,82.30000305175781,806.25,784.1188524590164,761.25,773.25,77.31698924731182,46.901777777777774,36.11225806451612,54.02150537634408,63.63307936507936,60.86230414746544,-0.5199999999999999,-0.2099999999999999,0.2066666666666667,1.919100046157837,2.027899980545044,2.055000066757202,1.3456052541732788,1.3652063608169556,1.3358982801437378,82.30000305175781,81.44999694824219,82.93000030517578,850.0,858.8524590163935,868.0
2007-06-01,850.0,67.93644444444443,53.928,-0.5199999999999999,1.9276000261306765,1.3536012172698977,81.91999816894531,850.0,806.25,784.1188524590164,761.25,67.93644444444443,77.31698924731182,46.901777777777774,53.928,54.02150537634408,63.63307936507936,-0.5199999999999999,-0.5199999999999999,-0.2099999999999999,1.9276000261306765,1.919100046157837,2.027899980545044,1.3536012172698977,1.3456052541732788,1.3652063608169556,81.91999816894531,82.30000305175781,81.44999694824219,858.8524590163935,868.0,991.25
2007-07-01,858.8524590163935,54.03870967741936,53.08838709677419,-0.6266666666666666,1.8654999732971191,1.3672035932540894,80.7699966430664,858.8524590163935,850.0,806.25,784.1188524590164,54.03870967741936,67.93644444444443,77.31698924731182,53.08838709677419,53.928,54.02150537634408,-0.6266666666666666,-0.5199999999999999,-0.5199999999999999,1.8654999732971191,1.9276000261306765,1.919100046157837,1.3672035932540894,1.3536012172698977,1.3456052541732788,80.7699966430664,81.91999816894531,82.30000305175781,868.0,991.25,1010.0
2007-08-01,868.0,75.75428571428571,55.04129032258064,-0.7033333333333333,1.9631999731063845,1.3642005920410156,80.79000091552734,868.0,858.8524590163935,850.0,806.25,75.75428571428571,54.03870967741936,67.93644444444443,55.04129032258064,53.08838709677419,53.928,-0.7033333333333333,-0.6266666666666666,-0.5199999999999999,1.9631999731063845,1.8654999732971191,1.9276000261306765,1.3642005920410156,1.3672035932540894,1.3536012172698977,80.79000091552734,80.7699966430664,81.91999816894531,991.25,1010.0,1080.0
2007-09-01,991.25,63.409396825396826,57.46399999999999,-0.89,1.8339999914169312,1.427001714706421,77.72000122070312,991.25,868.0,858.8524590163935,850.0,63.409396825396826,75.75428571428571,54.03870967741936,57.46399999999999,55.04129032258064,53.08838709677419,-0.89,-0.7033333333333333,-0.6266666666666666,1.8339999914169312,1.9631999731063845,1.8654999732971191,1.427001714706421,1.3642005920410156,1.3672035932540894,77.72000122070312,80.79000091552734,80.7699966430664,1010.0,1080.0,1199.0
2007-10-01,1010.0,63.4505069124424,74.95225806451613,-1.11,1.736199975013733,1.4471989870071411,76.4800033569336,1010.0,991.25,868.0,858.8524590163935,63.4505069124424,63.409396825396826,75.75428571428571,74.95225806451613,57.46399999999999,55.04129032258064,-1.11,-0.89,-0.7033333333333333,1.736199975013733,1.8339999914169312,1.9631999731063845,1.4471989870071411,1.427001714706421,1.3642005920410156,76.4800033569336,77.72000122070312,80.79000091552734,1080.0,1199.0,1274.5
