date,ADM,BG,SOY
2020-08-17,38.678123474121094,40.844444274902344,912.5
2020-08-18,38.924095153808594,40.65073776245117,912.0
2020-08-19,38.704471588134766,41.10858154296875,912.5
2020-08-20,38.20376205444336,40.49225997924805,903.0
2020-08-21,38.29159927368164,41.17901611328125,900.75
2020-08-24,39.04707336425781,41.23184585571289,899.75
2020-08-25,38.915306091308594,41.32869338989258,913.75
2020-08-26,39.073429107666016,41.073368072509766,919.5
2020-08-27,39.28425216674805,40.71237564086914,937.25
2020-08-28,39.4423828125,41.090965270996094,950.5
2020-08-31,39.31938934326172,40.16648864746094,951.25
2020-09-01,39.653202056884766,40.034420013427734,955.0
2020-09-02,40.180274963378906,40.86204147338867,962.5
2020-09-03,40.24176025390625,40.28975296020508,968.75
2020-09-04,40.839111328125,40.92367935180664,969.5
2020-09-08,39.72348403930664,39.814300537109375,973.0
2020-09-09,40.45259094238281,40.36899185180664,979.75
2020-09-10,40.426239013671875,39.963985443115234,985.0
2020-09-11,41.19049072265625,40.18409729003906,1005.5
2020-09-14,41.72633743286133,40.7211799621582,1019.25
2020-09-15,41.69999313354492,40.82682800292969,991.5
2020-09-16,41.86690139770508,40.950096130371094,1011.25
2020-09-17,41.96352005004883,41.67206954956055,1028.5
2020-09-18,41.849327087402344,41.91859436035156,1043.5
2020-09-21,40.85667419433594,40.26333999633789,1022.5
2020-09-22,41.28711700439453,40.48344802856445,1019.75
2020-09-23,39.67076873779297,39.32125473022461,1014.5
2020-09-24,39.943084716796875,39.31244659423828,1000.0
2020-09-25,40.47895431518555,40.580299377441406,1002.5
2020-09-28,40.847896575927734,40.9412956237793,996.25
2020-09-29,40.391109466552734,39.77908706665039,993.0
2020-09-30,40.839111328125,40.23692321777344,1023.5
2020-10-01,40.93574142456055,40.34257888793945,1023.5
2020-10-02,41.05873107910156,40.844444274902344,1020.75
2020-10-05,41.97230911254883,41.59281921386719,1021.5
2020-10-06,41.814186096191406,41.9097900390625,1044.0
2020-10-07,42.43789291381836,43.19526290893555,1051.0
2020-10-08,42.91225051879883,43.16005325317383,1050.0
2020-10-09,43.01766586303711,44.436710357666016,1065.5
2020-10-12,43.9136848449707,45.24673080444336,1033.75
2020-10-13,42.89468765258789,44.850521087646484,1044.0
2020-10-14,42.91225051879883,45.91587829589844,1056.25
2020-10-15,43.86975860595703,47.72962188720703,1062.25
2020-10-16,43.73799514770508,48.06418991088867,1050.0
2020-10-19,44.194786071777344,48.072994232177734,1054.25
2020-10-20,44.68671798706055,48.451595306396484,1064.0
2020-10-21,44.634010314941406,48.513221740722656,1072.0
2020-10-22,45.39826583862305,49.701847076416016,1073.75
2020-10-23,45.56516647338867,49.32325744628906,1083.75
2020-10-26,44.967830657958984,49.03269577026367,1087.75
2020-10-27,44.238712310791016,49.03269577026367,1082.25
2020-10-28,43.500816345214844,51.119384765625,1057.25
2020-10-29,43.85219192504883,51.3218879699707,1051.75
2020-10-30,40.619503021240234,49.94837951660156,1056.5
2020-11-02,42.657501220703125,51.1281852722168,1050.75
2020-11-03,42.07773208618164,49.72826385498047,1059.0
2020-11-04,40.85667419433594,49.270408630371094,1079.0
2020-11-05,42.08651351928711,51.50679016113281,1101.75
2020-11-06,42.40274429321289,50.635128021240234,1098.5
2020-11-09,43.29876708984375,50.05403137207031,1105.0
2020-11-10,44.054237365722656,51.779727935791016,1138.25
2020-11-11,44.001529693603516,51.858970642089844,1143.25
2020-11-12,43.33390426635742,51.0577507019043,1137.0
2020-11-13,43.79948806762695,52.09669494628906,1141.5
2020-11-16,44.28263854980469,53.43498229980469,1153.5
2020-11-17,44.06301498413086,52.71589660644531,1169.75
2020-11-18,43.594078063964844,51.828125,1175.75
2020-11-19,43.28439712524414,51.96128845214844,1177.5
2020-11-20,43.010108947753906,52.14772033691406,1181.0
2020-11-23,43.18706512451172,53.20417785644531,1191.5
2020-11-24,44.73546600341797,55.61890411376953,1191.25
2020-11-25,44.68238067626953,54.89094924926758,1184.0
2020-11-27,44.63813781738281,54.01204299926758,1191.75
2020-11-30,44.03648376464844,52.28089141845703,1168.5
2020-12-01,44.33731460571289,52.79579162597656,1162.0
2020-12-02,43.78873825073242,52.653743743896484,1153.0
2020-12-03,44.071868896484375,53.95877456665039,1168.25
2020-12-04,44.74431610107422,54.57133865356445,1163.0
2020-12-07,44.27537155151367,53.95877456665039,1158.5
2020-12-08,44.55850601196289,54.46479797363281,1145.75
2020-12-09,44.098411560058594,56.37351608276367,1158.5
2020-12-10,43.53213119506836,57.26128387451172,1152.75
2020-12-11,44.071868896484375,58.628448486328125,1160.5
2020-12-14,43.080894470214844,56.622093200683594,1169.5
2020-12-15,43.85951614379883,57.84721374511719,1184.25
2020-12-16,43.53213119506836,57.3766975402832,1183.75
2020-12-17,43.69140625,56.81740188598633,1201.25
2020-12-18,43.956844329833984,57.15475845336914,1220.0
2020-12-21,43.682559967041016,57.545372009277344,1243.25
2020-12-22,43.11628723144531,56.89729690551758,1247.25
2020-12-23,43.66486358642578,57.45659255981445,1258.75
2020-12-24,43.74449157714844,57.11036682128906,1263.5
2020-12-28,43.974544525146484,56.91505432128906,1255.25
2020-12-29,43.75334548950195,56.32025146484375,1295.5
2020-12-30,44.16034698486328,57.87384796142578,1303.75
2020-12-31,44.60275650024414,58.22007751464844,1315.25
2021-01-04,44.12495040893555,58.33549499511719,1316.5
2021-01-05,44.98321533203125,59.835819244384766,1350.0
2021-01-06,46.80590057373047,62.294944763183594,1365.25
2021-01-07,46.390052795410156,61.646881103515625,1360.5
